tweet_id,favorite_count,retweet_count,created_at,source,retweeted_status,url
673697980713705472,3518,1697,Mon Dec 07 02:58:09 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/lepRCaGcgw
673689733134946305,1546,570,Mon Dec 07 02:25:23 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/YPsJasNVGe
673688752737402881,1126,440,Mon Dec 07 02:21:29 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/jMki5GOV3y
673686845050527744,1277,377,Mon Dec 07 02:13:55 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/wImU0jdx3E
673680198160809984,1230,418,Mon Dec 07 01:47:30 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/GwvpQiQ7oQ
673662677122719744,1131,328,Mon Dec 07 00:37:52 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/fJulMurnfj
673656262056419329,650,199,Mon Dec 07 00:12:23 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/PN8hxgZ9We
673636718965334016,995,308,Sun Dec 06 22:54:44 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/gKlLpNzIl3
673612854080196609,1426,632,Sun Dec 06 21:19:54 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/0iyItbtkr8
673583129559498752,1068,314,Sun Dec 06 19:21:47 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/JpoEvgbDug
673580926094458881,738,239,Sun Dec 06 19:13:01 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/H6rqZyE4NP
673576835670777856,1236,488,Sun Dec 06 18:56:46 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/WlKiN3ll0w
673363615379013632,932,267,Sun Dec 06 04:49:31 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/m8r9rbcgX4
673359818736984064,1288,594,Sun Dec 06 04:34:25 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/EPq0MRAraJ
673355879178194945,1345,494,Sun Dec 06 04:18:46 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/0zUxlrhZrQ
673352124999274496,1496,475,Sun Dec 06 04:03:51 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/az5PLGzVNJ
